aaron	a: r O n
abbadísin	a p a t i s I n
abbast	a p a s t
abu	a p u
adam	a: t a m
adams	a: t a m s
adda	a t a
adolf	a: t O l f
adolfs	a: t O l f s
adolfsson	a: t O l f s O n
af	a: f
afa	a: v a
afar	a: v a r
afborganir	a v p O r k a n I r
afbragð	a v p r a G D
afbragðsfólk	a v p r a G D s f ou l_0 k
afbrigði	a v p r I G D I
afbrigðilegrar	a v p r I G D I l E G r a r
afbrigðilegt	a v p r I G D I l E x t
afbrot	a v p r O t
afdrep	a v t r E p
afdrif	a v t r I v
afdrifarík	a v t r I v a r i k
afdráttarlaus	a v t r au h t a r l 9i s
affalla	a f a t l a
affalls	a f a l s
afferma	a f E r m a
afföll	a f 9 t l_0
afföllin	a f 9 t l I n
afgang	a v k au N k
afgangateppi	a f k au N k a t_h E h p I
afganginn	a v k au J c I n
afgangur	a v k au N k Y r
afganistan	a v k a n I s t a n
afgerandi	a v c E r a n t I
afgreidd	a v k r ei t
afgreiddi	a v k r ei t I
afgreitt	a v k r ei h t
afgreiða	a v k r ei D a
afgreiðsla	a v k r ei D s t l a
afgreiðslu	a v k r ei D s t l Y
afgreiðslugjöld	a v k r ei D s t l Y c 9 l t
afgreiðslunefnd	a f k r ei D s t l Y n E m t
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n
afhenda	a f h E n t a
afhending	a f h E n t i N k
afhendingar	a f h E n t i N k a r
afhendingu	a f h E n t i N k Y
afhenta	a f h E n_0 t a
afhentar	a f h E n_0 t a r
afhenti	a f h E n_0 t I
afhentir	a f h E n_0 t I r
afhomma	a f h O m a
afhöggvinn	a f h 9 k v I n
afi	a: v I
afkastamikill	a v k_h a s t a m I c I t l_0
afklæddist	a v k_h l ai t I s t
afklæðast	a v k_h l ai D a s t
afkomandi	a v k_h O m a n t I
afkomendur	a v k_h O m E n t Y r
afkomukreppu	a v k_h O m Y k_h r E h p Y
afkomutölur	a v k_h O m Y t_h 9 l Y r
afkvæmarannsókn	a v k_h v ai m a r a n s ou h k n_0
afkvæmi	a v k_h v ai m I
afkvæmum	a v k_h v ai m Y m
afl	a p l_0
afla	a p l a
aflaheimilda	a p l a h ei m I l t a
aflaheimildir	a p l a h ei m I l t I r
aflaheimildum	a p l a h ei m I l t Y m
aflahlutdeildum	a p l a l_0 Y t ei l t Y m
aflamarks	a p l a m a r_0 k s
aflamarksbátum	a p l a m a r_0 k s p au t Y m
aflamarkskerfi	a p l a m a r_0 k s c_h E r v I
aflann	a p l a n
aflaskýrslu	a p l a s c i r_0 s t l Y
aflausn	a v l 9i s t n_0
aflaverðmæti	a p l a v E r D m ai t I
aflað	a p l a D
afleggjaranum	a v l E c a r a n Y m
afleidd	a v l ei t
afleiða	a v l ei D a
afleiðing	a v l ei D i N k
afleiðinga	a v l ei D i N k a
afleiðingar	a v l ei D i N k a r
afleiðingarnar	a v l ei D i N k a r t n a r
afleiðingin	a v l ei D i J c I n
afleiðingum	a v l ei D i N k Y m
afli	a p l I
aflinn	a p l I n
afloknum	a v l O h k n Y m
afláts	a: v l au t s
aflétt	a v l j E h t
aflétta	a f l j E h t a
aflýsa	a v l i s a
