a	ˈ aː
aalesund	ˈ ɔː l ɛ s ʏ n t
aaron	ˈ aː r ɔ n
ab	ˈ aː p j ɛ
abbadísin	ˈa p a t ˌi s ɪ n
abbas	ˈ a p a s
abbast	ˈ a p a s t
abc	ˈ aː p j ɛ s j ɛ
abdul	ˈ a p t u l
abdullah	ˈ a p t u l a
abe	ˈ eiː p
abel	ˈ aː p ɛ l
aber	ˈaː p ɛ r
about	ˈ a p au ʏ t
abraham	ˈ aː p r a h a m
abs	ˈa p s
absolute	ˈ a p s ɔ l u t
absolutely	ˈ a p s ɔ l u t l i
abstrakt	ˈ a p s t r a x t
abstrakta	ˈa p s t r a x t a
abstrakti	ˈa p s t r a x t ɪ
abstraktinu	ˈa p s t r a x t ɪ n ʏ
abstraktið	ˈa p s t r a x t ɪ ð
abstraktsins	ˈa p s t r a x t s ɪ n s
abu	ˈ a p u
ac	ˈ aː s j ɛ
access	ˈ a k s ɛ s
accessibility	ˈ a k s ɛ s ɪ p ɪ l ɪ t i
accident	ˈ a k s ɪ t ɛ n̥ t
account	ˈ a kʰ au n̥ t
acer	ˈ aː s ɛ r
acid	ˈ aː s ɪ t
act	ˈ a x t
actions	ˈ a k s j ɔ n s
activate	ˈa k tʰ ɪ v ei t
active	ˈ a x t ɪ v
actors	ˈ a x t ɔ r̥ s
actually	ˈ a k s j u l i
ad	ˈ aː t
adam	ˈ aː t a m
adams	ˈ aː t a m s
add	ˈ a t
adda	ˈ a t a
added	ˈ a t ɛ t
addi	ˈ a t ɪ
address	ˈ a t r ɛ s
adds	ˈa t s
adebayor	ˈ aː t ɛ p ai ɔ r
adhd	ˈa t n̥ t
adidas	ˈ aː t ɪ t a s
adolf	ˈ aː t ɔ l f
adolfs	ˈ aː t ɔ l f s
adolfsson	ˈ aː t ɔ l f s s ˌ ɔ n
adrian	ˈ a t r i a n
advania	ˈ a t v a n i j a
aek	ˈaː ɛ kʰ au
af	aː f
afa	ˈ aː v a
afar	ˈ aː v a r
afborgana	ˈ aː f p ɔ r k a n a
afborganir	ˈ aː f p ɔ r k a n ɪ r
afborgun	ˈ aː f p ɔ r k ʏ n
afborgunum	ˈ aː f p ɔ r k ɔ n ʏ m
afbragð	ˈ aː f p r a ɣ ð
afbragðs	ˈ aː f p r a ɣ ð s
afbragðsfólk	ˈaː f p r a ɣ ð s f ˌou l̥ k
afbrigði	ˈ a v p r ɪ ɣ ð ɪ
afbrigðilegrar	ˈa v p r ɪ ɣ ð ɪ l ɛ ɣ r a r
afbrigðilegt	ˈ a v p r ɪ ɣ ð ɪ l ɛ x t
afbrigðum	ˈ aː f p r ɪ ɣ ð ʏ m
afbrot	ˈ aː f p r ɔ t
afbrota	ˈ aː f p r ɔ t a
afbrotum	ˈ aː f p r ɔ t ʏ m
afburða	ˈ aː f p ʏ r ð a
afdrep	ˈ aː f t r ɛ p
afdrif	ˈ aː f t r ɪ v
afdrifarík	ˈ aː f t r ɪ v a r ˌ i k
afdráttarlaus	ˈ aː f t r au h t a r l ˌ œy s
afdráttarlaust	ˈ aː f t r au h t a r l ˌ œy s t
affalla	ˈ aː f f a t l a
affalls	ˈaː f f a t l̥ s
afferma	ˈ aː f f ɛ r m a
afföll	ˈ aː f f œ t l̥
afföllin	ˈ a f œ t l ɪ n
afgang	ˈ aː f k au ŋ k
afgangateppi	ˈa f k au ŋ k a tʰ ɛ h p ɪ
afgangi	ˈ aː f k au ɲ c ɪ
afganginn	ˈ aː f k au ɲ c ɪ n
afgangs	ˈ aː f k au ŋ s
afgangur	ˈ aː f k au ŋ k ʏ r
afgangurinn	ˈ aː f k au ŋ k ʏ r ɪ n
afganistan	ˈ a v k a n ɪ s t a n
afganistans	ˈ a f k a n ɪ s t a n s
afgerandi	ˈ aː f c ɛ r a n t ɪ
afgreidd	ˈ aː f k r ei t
