SAMPA	IPA	SINGLE	FLITE	ESPEAK
a	a	a	a	a
ai	ai	3	ai	aɪ
ai:	aiː	4	aii	aɪ:
au	au	z	au	aʊ
au:	auː	Z	auu	aʊː
a:	aː	A	aa	aː
c	c	c	c	ɟ
c_h	cʰ	C	ch	c
ei	ei	1	ei	eɪ
ei:	eiː	2	eii	eɪː
f	f	f	f	f
h	h	h	h	h
i	i	y	i	i
i:	iː	Y	ii	iː
j	j	j	j	j
k	k	k	k	g
k_h	kʰ	K	kh	k
l	l	l	l	l
l_0	l̥	L	lz	l#
m	m	m	m	m
m_0	m̥	M	mz	m#
n	n	n	n	n
n_0	n̥	N	nz	n#
ou	ou	x	ou	oʊ
ou:	ouː	X	ouu	oʊː
p	p	p	p	b
p_h	pʰ	P	ph	p
r	r	r	r	r
r_0	r̥	R	rz	rr#
s	s	s	s	s
t	t	t	t	d
t_h	tʰ	T	th	t
u	u	u	u	u
u:	uː	U	uu	uː
v	v	F	v	ʋ
x	x	G	x	x
C	ç	H	C	ç
D	ð	D	D	ð
N	ŋ	b	N	ŋ
N_0	ŋ̊	B	Nz	ŋ #
9	œ	8	oe	œ
9i	œy	5	oei	øy
9i:	œyː	6	oeii	øyː
9:	œː	9	oee	œː
O	ɔ	o	O	ɔ
Oi	ɔi	7	Oi	ɔi
O:	ɔː	O	OO	ɔː
E	ɛ	e	E	ɛ
E:	ɛː	E	EE	ɛː
G	ɣ	g	G	ɣ
I	ɪ	i	I	ɪ
I:	ɪː	I	II	ɪː
J	ɲ	q	J	ɲ
J_0	ɲ̊	Q	Jz	ɲ̊
Y	ʏ	v	Y	y
Yi	ʏi	w	Yi	yi
Y:	ʏː	V	YY	yː
T	θ	d	T	θ
'	'	'	'	'
ˌ	ˌ	ˌ	ˌ	ˌ
§sp	§sp	§sp	pau	§sp
